FilePath,ID,AuthorsNote,StrideSpeed,StrideLengthFR,StepLengthFR,StepWidthFR,StrideLengthFL,StepLengthFL,StepWidthFL,StrideLengthBR,StepLengthBR,StepWidthBR,StrideLengthBL,StepLengthBL,StepWidthBL,TemporalSymmetryF,TemporalSymmetryB,DutyFactorF,DutyFactorB,AngularVelocity,NoseLateralDisplacementBR,NoseLateralDisplacementPhaseOffsetBR,TailLateralDisplacementBR,TailLateralDisplacementPhaseOffsetBR
1778\1778_20260421_2026-04-21-183832-0000DLC_resnet50_Wheel Running ProjectAug6shuffle1_100000_filtered.csv,1778,60 DPI,,,,,,,,,,,,,,,,,,,,,,
1778\1778_20260724_2026-07-24-152702-0000DLC_resnet50_Wheel Running ProjectAug6shuffle1_100000_filtered.csv,1778,150 DPI,,,,,,,,,,,,,,,,,,,,,,
1778\1778_20260724_2026-07-24-152702-0000DLC_resnet50_Wheel Running ProjectAug6shuffle1_100000_filtered.csv,1778,LDOPA,,,,,,,,,,,,,,,,,,,,,,
1564\1564_20250709_2025-07-09-134234-0000DLC_resnet50_Wheel Running ProjectAug6shuffle1_100000_filtered.csv,1564,Training video,,,,,,,,,,,,,,,,,,,,,,
1564\1564_20250710_2025-07-10-171626-0000DLC_resnet50_Wheel Running ProjectAug6shuffle1_100000_filtered.csv,1564,Training video,,,,,,,,,,,,,,,,,,,,,,
1564\1564_20250711_2025-07-11-133013-0000DLC_resnet50_Wheel Running ProjectAug6shuffle1_100000_filtered.csv,1564,Training video,,,,,,,,,,,,,,,,,,,,,,
1564\1564_20250712_2025-07-12-183333-0000DLC_resnet50_Wheel Running ProjectAug6shuffle1_100000_filtered.csv,1564,Training video,,,,,,,,,,,,,,,,,,,,,,
1564\1564_20250713_2025-07-13-170755-0000DLC_resnet50_Wheel Running ProjectAug6shuffle1_100000_filtered.csv,1564,Training video,,,,,,,,,,,,,,,,,,,,,,
1564\1564_20250714_2025-07-14-123836-0000DLC_resnet50_Wheel Running ProjectAug6shuffle1_100000_filtered.csv,1564,Training video,,,,,,,,,,,,,,,,,,,,,,
1564\1564_20250715_2025-07-15-151401-0000DLC_resnet50_Wheel Running ProjectAug6shuffle1_100000_filtered.csv,1564,Training video,,,,,,,,,,,,,,,,,,,,,,
1564\1564_20250716_2025-07-16-124626-0000DLC_resnet50_Wheel Running ProjectAug6shuffle1_100000_filtered.csv,1564,Training video,,,,,,,,,,,,,,,,,,,,,,
1564\1564_20250717_2025-07-17-110453-0000DLC_resnet50_Wheel Running ProjectAug6shuffle1_100000_filtered.csv,1564,60 DPI,,,,,,,,,,,,,,,,,,,,,,
1564\1564_20251009_2025-10-09-152123-0000DLC_resnet50_Wheel Running ProjectAug6shuffle1_100000_filtered.csv,1564,150 DPI,,,,,,,,,,,,,,,,,,,,,,
1564\1564_20251009_2025-10-09-152123-0000DLC_resnet50_Wheel Running ProjectAug6shuffle1_100000_filtered.csv,1564,LDOPA,,,,,,,,,,,,,,,,,,,,,,
